# Time since Start (s)	Non-Conservative Translational Work (J)	Non-Conservative Rotational Work (J)	Work from Gravity-Gradient Torque (J)	Work from Aspherical Earth Potential (J)	Work from Sun Acceleration (J)	Work from Moon Acceleration (J)	Earth Potential Energy (J)	Sun Potential (J)	Moon Potential (J)
0.000000	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-4.5848278350023615e+11	0.0000000000000000e+00	0.0000000000000000e+00
86400.000000	0.0000000000000000e+00	-8.8689580624322106e-10	5.0956280628647301e-02	-4.1084069771637641e+07	0.0000000000000000e+00	0.0000000000000000e+00	-4.5855567503795312e+11	0.0000000000000000e+00	0.0000000000000000e+00
172800.000000	0.0000000000000000e+00	-1.7946758548316916e-09	6.2441132637319208e-02	-4.2501577249359155e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5682336087402588e+11	0.0000000000000000e+00	0.0000000000000000e+00
259200.000000	0.0000000000000000e+00	-2.6836577678075193e-09	8.6835442593831122e-02	-2.9733790236728472e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5890455158474658e+11	0.0000000000000000e+00	0.0000000000000000e+00
345600.000000	0.0000000000000000e+00	-3.5549653905228382e-09	9.5901104548579280e-02	1.2832635334887338e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5769667505481311e+11	0.0000000000000000e+00	0.0000000000000000e+00
432000.000000	0.0000000000000000e+00	-4.4543639318841415e-09	5.4773527633846290e-02	1.4854725756027531e+07	0.0000000000000000e+00	0.0000000000000000e+00	-4.5773160027032367e+11	0.0000000000000000e+00	0.0000000000000000e+00
518400.000000	0.0000000000000000e+00	-5.3190770899134019e-09	1.8765088216600048e-01	-3.4653622928550923e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5875914806051740e+11	0.0000000000000000e+00	0.0000000000000000e+00
604800.000000	0.0000000000000000e+00	-6.1862097658930403e-09	1.1443081889150673e-01	-1.4469381938940564e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5688056940258502e+11	0.0000000000000000e+00	0.0000000000000000e+00
691200.000000	0.0000000000000000e+00	-7.0769690368063323e-09	1.3838499952063396e-01	2.5511986960235631e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5875365562994025e+11	0.0000000000000000e+00	0.0000000000000000e+00
777600.000000	0.0000000000000000e+00	-7.9626396392731384e-09	1.4770326000882075e-01	7.6813087397763908e+07	0.0000000000000000e+00	0.0000000000000000e+00	-4.5824114695384540e+11	0.0000000000000000e+00	0.0000000000000000e+00
864000.000000	0.0000000000000000e+00	-8.9091062301018665e-09	1.6816127807710579e-01	-2.5269739473802179e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5692527948510107e+11	0.0000000000000000e+00	0.0000000000000000e+00
950400.000000	0.0000000000000000e+00	-9.8831547275830319e-09	1.9418536748970366e-01	8.2350056335644964e+06	0.0000000000000000e+00	0.0000000000000000e+00	-4.5903515555771997e+11	0.0000000000000000e+00	0.0000000000000000e+00
1036800.000000	0.0000000000000000e+00	-1.0835715587953539e-08	1.7401812085705973e-01	3.6793261667341930e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5749320963430371e+11	0.0000000000000000e+00	0.0000000000000000e+00
1123200.000000	0.0000000000000000e+00	-1.1804493950644715e-08	2.7866167672311259e-01	1.2627671076313214e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5792599258979144e+11	0.0000000000000000e+00	0.0000000000000000e+00
1209600.000000	0.0000000000000000e+00	-1.2721780620293502e-08	1.5026752424093995e-01	-1.5748622619975370e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5858891159665369e+11	0.0000000000000000e+00	0.0000000000000000e+00
1296000.000000	0.0000000000000000e+00	-1.3637384851435897e-08	2.8339993728418317e-01	1.6516359607601145e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5691329643578961e+11	0.0000000000000000e+00	0.0000000000000000e+00
1382400.000000	0.0000000000000000e+00	-1.4565041096618701e-08	2.5337231734031757e-01	4.7634781718424314e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5896741849587115e+11	0.0000000000000000e+00	0.0000000000000000e+00
1468800.000000	0.0000000000000000e+00	-1.5452105884686793e-08	2.6719944695080150e-01	1.8581762398737282e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5790906613168909e+11	0.0000000000000000e+00	0.0000000000000000e+00
1555200.000000	0.0000000000000000e+00	-1.6353098385437250e-08	2.8492284327545309e-01	-4.5583775430632673e+07	0.0000000000000000e+00	0.0000000000000000e+00	-4.5710283400117206e+11	0.0000000000000000e+00	0.0000000000000000e+00
1641600.000000	0.0000000000000000e+00	-1.7234975068587339e-08	2.5886248070119239e-01	3.1946968667951173e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5910445588617010e+11	0.0000000000000000e+00	0.0000000000000000e+00
1728000.000000	0.0000000000000000e+00	-1.8090578132753618e-08	3.7463880586602977e-01	5.7227788410535872e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5730761104736914e+11	0.0000000000000000e+00	0.0000000000000000e+00
1814400.000000	0.0000000000000000e+00	-1.8985699238299000e-08	2.3776701004121417e-01	2.3521740238674349e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5812372963130713e+11	0.0000000000000000e+00	0.0000000000000000e+00
1900800.000000	0.0000000000000000e+00	-1.9870122807791077e-08	3.4695553569331899e-01	6.6989891201329887e+07	0.0000000000000000e+00	0.0000000000000000e+00	-4.5839466891811035e+11	0.0000000000000000e+00	0.0000000000000000e+00
1987200.000000	0.0000000000000000e+00	-2.0750324764111788e-08	3.6080309372849501e-01	4.7442032064361912e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5700995340740656e+11	0.0000000000000000e+00	0.0000000000000000e+00
2073600.000000	0.0000000000000000e+00	-2.1668518615257696e-08	3.5178375337359208e-01	6.6230625719207788e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5911054985121912e+11	0.0000000000000000e+00	0.0000000000000000e+00
2160000.000000	0.0000000000000000e+00	-2.2579822386931454e-08	3.6394673197457378e-01	2.9828013190138131e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5758359076090247e+11	0.0000000000000000e+00	0.0000000000000000e+00
2246400.000000	0.0000000000000000e+00	-2.3533322296417876e-08	3.9116373934270005e-01	1.9664446802170908e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5734569521468085e+11	0.0000000000000000e+00	0.0000000000000000e+00
2332800.000000	0.0000000000000000e+00	-2.4517811051365866e-08	4.0109993968798768e-01	6.2402816519699240e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5910409595864911e+11	0.0000000000000000e+00	0.0000000000000000e+00
2419200.000000	0.0000000000000000e+00	-2.5468420652420826e-08	3.7232929748438937e-01	7.4203699165544009e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5715105666237903e+11	0.0000000000000000e+00	0.0000000000000000e+00
2505600.000000	0.0000000000000000e+00	-2.6440840806354498e-08	4.7029623645590574e-01	3.5402167303429329e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5831711392910254e+11	0.0000000000000000e+00	0.0000000000000000e+00
2592000.000000	0.0000000000000000e+00	-2.7364494210688909e-08	4.5224026060059802e-01	3.2512711264550185e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5818766834099506e+11	0.0000000000000000e+00	0.0000000000000000e+00
2678400.000000	0.0000000000000000e+00	-2.8260820071911535e-08	4.0292956834053573e-01	7.7084169144894922e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5716063650534613e+11	0.0000000000000000e+00	0.0000000000000000e+00
2764800.000000	0.0000000000000000e+00	-2.9179498312525987e-08	4.8200668183773687e-01	8.1590791437378871e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5917522936580432e+11	0.0000000000000000e+00	0.0000000000000000e+00
2851200.000000	0.0000000000000000e+00	-3.0064898174207181e-08	4.8048582643109528e-01	4.2616298773718119e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5728823526552496e+11	0.0000000000000000e+00	0.0000000000000000e+00
2937600.000000	0.0000000000000000e+00	-3.0962102676137422e-08	4.9014906952509979e-01	4.6998216177219814e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5763812702937347e+11	0.0000000000000000e+00	0.0000000000000000e+00
3024000.000000	0.0000000000000000e+00	-3.1856408040256791e-08	4.7030067819866678e-01	9.1039548692329359e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5903029386216333e+11	0.0000000000000000e+00	0.0000000000000000e+00
3110400.000000	0.0000000000000000e+00	-3.2714230300463112e-08	5.4735130834905610e-01	8.8213634594328988e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5703444519919867e+11	0.0000000000000000e+00	0.0000000000000000e+00
3196800.000000	0.0000000000000000e+00	-3.3598176257083497e-08	5.3793204404177375e-01	4.9381659518946648e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5849820047824493e+11	0.0000000000000000e+00	0.0000000000000000e+00
3283200.000000	0.0000000000000000e+00	-3.4491071058432800e-08	5.2429086636593802e-01	6.1104280430222499e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5797847743985693e+11	0.0000000000000000e+00	0.0000000000000000e+00
3369600.000000	0.0000000000000000e+00	-3.5381615734149116e-08	5.6532434972673795e-01	1.0437873894686800e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5735283525062207e+11	0.0000000000000000e+00	0.0000000000000000e+00
3456000.000000	0.0000000000000000e+00	-3.6343108716474384e-08	5.6988650188095547e-01	9.4399593623191023e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5915973851381976e+11	0.0000000000000000e+00	0.0000000000000000e+00
3542400.000000	0.0000000000000000e+00	-3.7302899209865341e-08	5.8220545143837188e-01	5.7956352586163104e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5704397784003369e+11	0.0000000000000000e+00	0.0000000000000000e+00
3628800.000000	0.0000000000000000e+00	-3.8273051314031477e-08	5.8880901556418430e-01	7.6660880879602206e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5796005597664343e+11	0.0000000000000000e+00	0.0000000000000000e+00
3715200.000000	0.0000000000000000e+00	-3.9245187883882773e-08	6.3409845214016436e-01	1.1692704624850776e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5888451910976825e+11	0.0000000000000000e+00	0.0000000000000000e+00
3801600.000000	0.0000000000000000e+00	-4.0168869760064033e-08	6.1950653598902194e-01	1.0011552252107619e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5696758321399915e+11	0.0000000000000000e+00	0.0000000000000000e+00
3888000.000000	0.0000000000000000e+00	-4.1122300125265220e-08	5.8568706863652553e-01	6.6315300082599449e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5865883736782153e+11	0.0000000000000000e+00	0.0000000000000000e+00
3974400.000000	0.0000000000000000e+00	-4.2048112868779376e-08	7.4139438964067850e-01	9.1544499247410369e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5777655659744641e+11	0.0000000000000000e+00	0.0000000000000000e+00
4060800.000000	0.0000000000000000e+00	-4.2939085931352340e-08	5.9878258840969767e-01	1.2855158069282749e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5757258864145465e+11	0.0000000000000000e+00	0.0000000000000000e+00
4147200.000000	0.0000000000000000e+00	-4.3850914171717142e-08	7.0453246227731980e-01	1.0565138722001734e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5906832053845575e+11	0.0000000000000000e+00	0.0000000000000000e+00
4233600.000000	0.0000000000000000e+00	-4.4733230045590405e-08	6.8677870652761930e-01	7.6545496756148016e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5686761580571338e+11	0.0000000000000000e+00	0.0000000000000000e+00
4320000.000000	0.0000000000000000e+00	-4.5613977682492327e-08	7.2186555740079927e-01	1.0758663581185439e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5828857596244727e+11	0.0000000000000000e+00	0.0000000000000000e+00
4406400.000000	0.0000000000000000e+00	-4.6519489172970661e-08	7.1525804863065034e-01	1.3946897850941176e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5867374137288586e+11	0.0000000000000000e+00	0.0000000000000000e+00
4492800.000000	0.0000000000000000e+00	-4.7392711947429079e-08	6.5917004612843988e-01	1.1102727802153635e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5695826879270538e+11	0.0000000000000000e+00	0.0000000000000000e+00
4579200.000000	0.0000000000000000e+00	-4.8286072509935337e-08	8.1283463652719878e-01	8.6696554673481381e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5879084342611041e+11	0.0000000000000000e+00	0.0000000000000000e+00
4665600.000000	0.0000000000000000e+00	-4.9198664925934200e-08	7.0084059031289170e-01	1.2267624728375163e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5759006218122223e+11	0.0000000000000000e+00	0.0000000000000000e+00
4752000.000000	0.0000000000000000e+00	-5.0107638790611644e-08	8.0022521598259078e-01	1.4921247039093218e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5780559240047675e+11	0.0000000000000000e+00	0.0000000000000000e+00
4838400.000000	0.0000000000000000e+00	-5.1082587987180225e-08	7.8806936034278818e-01	1.1653044746854107e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5891053223655566e+11	0.0000000000000000e+00	0.0000000000000000e+00
4924800.000000	0.0000000000000000e+00	-5.2066878527932276e-08	7.8139822462428543e-01	9.8680853659305775e+08	0.0000000000000000e+00	0.0000000000000000e+00	-4.5677051279599829e+11	0.0000000000000000e+00	0.0000000000000000e+00
5011200.000000	0.0000000000000000e+00	-5.3039211942010779e-08	8.1545305271921620e-01	1.3855785671821239e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5859976222830621e+11	0.0000000000000000e+00	0.0000000000000000e+00
5097600.000000	0.0000000000000000e+00	-5.4018392628161474e-08	8.1739803554895618e-01	1.5847541465253944e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5841020244347235e+11	0.0000000000000000e+00	0.0000000000000000e+00
5184000.000000	0.0000000000000000e+00	-5.4931201258679943e-08	8.8583770532609574e-01	1.2218899487073381e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5701136314832135e+11	0.0000000000000000e+00	0.0000000000000000e+00
5270400.000000	0.0000000000000000e+00	-5.5856936675082865e-08	7.9081211069713864e-01	1.1059777306484971e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5888634605594617e+11	0.0000000000000000e+00	0.0000000000000000e+00
5356800.000000	0.0000000000000000e+00	-5.6775906105960951e-08	9.0087743152242250e-01	1.5325605887411339e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5742584654879901e+11	0.0000000000000000e+00	0.0000000000000000e+00
5443200.000000	0.0000000000000000e+00	-5.7663005805911063e-08	8.6837660651271953e-01	1.6640172065764754e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5803816497975439e+11	0.0000000000000000e+00	0.0000000000000000e+00
5529600.000000	0.0000000000000000e+00	-5.8575010572861614e-08	8.6606947130035294e-01	1.2826786736137412e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5870017045331360e+11	0.0000000000000000e+00	0.0000000000000000e+00
5616000.000000	0.0000000000000000e+00	-5.9459037813623260e-08	8.9815815107588737e-01	1.2422139584454958e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5675784022259943e+11	0.0000000000000000e+00	0.0000000000000000e+00
5702400.000000	0.0000000000000000e+00	-6.0327507327409225e-08	8.8772993287367441e-01	1.6835452497102883e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5887063116293945e+11	0.0000000000000000e+00	0.0000000000000000e+00
5788800.000000	0.0000000000000000e+00	-6.1224725482240238e-08	1.0043418625469203e+00	1.7418696754066069e+09	0.0000000000000000e+00	0.0000000000000000e+00	-4.5811070944407684e+11	0.0000000000000000e+00	0.0000000000000000e+00
