Channel:,Lum
Means:,0,2536065
Note: Peaks measured from 20% upward
Peaks:,9
PeaksLevels:,58
0, 9101763
1, 2279419
2, 267807
3, 22216
4, 3326
5, 1625
6, 1044
7, 774
8, 498
9, 339
10, 233
11, 189
12, 156
13, 83
14, 84
15, 62
16, 66
17, 44
18, 41
19, 47
20, 40
21, 31
22, 27
23, 35
24, 24
25, 29
26, 20
27, 17
28, 22
29, 13
30, 17
31, 21
32, 13
33, 10
34, 11
35, 7
36, 12
37, 11
38, 8
39, 5
40, 9
41, 8
42, 10
43, 8
44, 4
45, 7
46, 5
47, 8
48, 7
49, 8
50, 6
51, 2
52, 1
53, 6
54, 3
55, 6
56, 4
57, 5
58, 9
59, 5
60, 4
61, 4
62, 4
63, 3
64, 0
65, 8
66, 4
67, 2
68, 2
69, 5
70, 1
71, 1
72, 0
73, 1
74, 1
75, 3
76, 6
77, 4
78, 1
79, 2
80, 7
81, 0
82, 4
83, 2
84, 0
85, 2
86, 0
87, 0
88, 1
89, 0
90, 2
91, 0
92, 2
93, 1
94, 0
95, 2
96, 2
97, 0
98, 1
99, 2
100, 2
101, 2
102, 3
103, 3
104, 0
105, 0
106, 2
107, 2
108, 1
109, 0
110, 1
111, 1
112, 1
113, 0
114, 1
115, 1
116, 1
117, 1
118, 1
119, 2
120, 1
121, 0
122, 0
123, 1
124, 2
125, 1
126, 0
127, 0
128, 9
129, 7
130, 0
131, 0
132, 0
133, 0
134, 0
135, 0
136, 0
137, 0
138, 0
139, 0
140, 0
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 0
148, 0
149, 0
150, 0
151, 0
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 0
159, 0
160, 0
161, 0
162, 0
163, 0
164, 0
165, 0
166, 0
167, 0
168, 0
169, 0
170, 0
171, 0
172, 0
173, 0
174, 0
175, 0
176, 0
177, 0
178, 0
179, 0
180, 0
181, 0
182, 0
183, 0
184, 0
185, 0
186, 0
187, 0
188, 0
189, 0
190, 0
191, 0
192, 0
193, 0
194, 0
195, 0
196, 0
197, 0
198, 0
199, 0
200, 0
201, 0
202, 0
203, 0
204, 0
205, 0
206, 0
207, 0
208, 0
209, 0
210, 0
211, 0
212, 0
213, 0
214, 0
215, 0
216, 0
217, 0
218, 0
219, 0
220, 0
221, 0
222, 0
223, 0
224, 0
225, 0
226, 0
227, 0
228, 0
229, 0
230, 0
231, 0
232, 0
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
